kernel-name,dispatch,gpu-id,queue-id,queue-index,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,time,VALUBusy,performance,LDSInsts,LDSBankConflict,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit
"_Z19gramschmidt_kernel1iiPfS_S_i",0,0,0,6,60386,256,256,0,0,1,2,1664,0x0,0.000055,0.038367,5.063111,0,0.000000,0.039439,0.022006,0.000000,0.558659
"_Z19gramschmidt_kernel2iiPfS_S_i",1,0,0,8,60386,8192,256,0,0,1,1,1856,0x0,0.000016,0.204966,24.029867,0,0.000000,7.700039,2.102877,0.000000,56.173677
"_Z19gramschmidt_kernel3iiPfS_S_i",2,0,0,10,60386,8192,256,0,0,6,2,0,0x0,0.000301,3.300866,377.049728,0,0.000000,18.760754,6.355578,0.440005,91.347669
"_Z19gramschmidt_kernel1iiPfS_S_i",3,0,0,12,60386,256,256,0,0,1,2,1664,0x0,0.000060,0.034792,4.556800,0,0.000000,0.038355,0.022547,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",4,0,0,14,60386,8192,256,0,0,1,1,1856,0x0,0.000012,0.269920,30.037333,0,0.000000,10.168700,2.681028,0.000000,56.183625
"_Z19gramschmidt_kernel3iiPfS_S_i",5,0,0,16,60386,8192,256,0,0,6,2,0,0x0,0.000310,3.202681,366.103123,0,0.000000,18.491685,6.110346,1.067292,91.350763
"_Z19gramschmidt_kernel1iiPfS_S_i",6,0,0,18,60386,256,256,0,0,1,2,1664,0x0,0.000056,0.037528,4.971055,0,0.000000,0.041930,0.024879,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",7,0,0,20,60386,8192,256,0,0,1,1,1856,0x0,0.000016,0.200216,22.528000,0,0.000000,8.543816,2.115740,0.000000,56.538068
"_Z19gramschmidt_kernel3iiPfS_S_i",8,0,0,22,60386,8192,256,0,0,6,2,0,0x0,0.000305,3.260286,373.328842,0,0.000000,17.758502,5.837929,0.446895,91.344600
"_Z19gramschmidt_kernel1iiPfS_S_i",9,0,0,24,60386,256,256,0,0,1,2,1664,0x0,0.000060,0.035064,4.634034,0,0.000000,0.039178,0.023246,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",10,0,0,26,60386,8192,256,0,0,1,1,1856,0x0,0.000012,0.271285,32.768000,0,0.000000,11.723967,2.534172,0.000000,56.269113
"_Z19gramschmidt_kernel3iiPfS_S_i",11,0,0,28,60386,8192,256,0,0,6,2,0,0x0,0.000306,3.247099,370.888784,0,0.000000,23.748140,7.805268,0.651298,91.346134
"_Z19gramschmidt_kernel1iiPfS_S_i",12,0,0,30,60386,256,256,0,0,1,2,1664,0x0,0.000056,0.037740,4.971055,0,0.000000,0.040762,0.023614,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",13,0,0,32,60386,8192,256,0,0,1,1,1856,0x0,0.000016,0.202792,22.528000,0,0.000000,7.848452,2.043522,0.000000,56.345696
"_Z19gramschmidt_kernel3iiPfS_S_i",14,0,0,34,60386,8192,256,0,0,6,2,0,0x0,0.000304,3.266688,373.328842,0,0.000000,19.385175,6.288538,0.505285,91.346743
"_Z19gramschmidt_kernel1iiPfS_S_i",15,0,0,36,60386,256,256,0,0,1,2,1664,0x0,0.000059,0.035547,4.634034,0,0.000000,0.036540,0.020388,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",16,0,0,38,60386,8192,256,0,0,1,1,1856,0x0,0.000012,0.265794,30.037333,0,0.000000,11.378041,2.269475,0.000000,56.688559
"_Z19gramschmidt_kernel3iiPfS_S_i",17,0,0,40,60386,8192,256,0,0,6,2,0,0x0,0.000306,3.247046,370.888784,0,0.000000,18.228753,5.962854,0.404247,91.347523
"_Z19gramschmidt_kernel1iiPfS_S_i",18,0,0,42,60386,256,256,0,0,1,2,1664,0x0,0.000054,0.038777,5.063111,0,0.000000,0.039860,0.022241,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",19,0,0,44,60386,8192,256,0,0,1,1,1856,0x0,0.000016,0.204749,24.029867,0,0.000000,7.576682,2.047486,0.000000,55.945946
"_Z19gramschmidt_kernel3iiPfS_S_i",20,0,0,46,60386,8192,256,0,0,6,2,0,0x0,0.000304,3.265239,373.328842,0,0.000000,17.865143,5.932310,0.435256,91.346134
"_Z19gramschmidt_kernel1iiPfS_S_i",21,0,0,48,60386,256,256,0,0,1,2,1664,0x0,0.000058,0.036168,4.796632,0,0.000000,0.037447,0.021014,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",22,0,0,50,60386,8192,256,0,0,1,1,1856,0x0,0.000012,0.262322,30.037333,0,0.000000,11.117137,2.830046,0.000000,56.376762
"_Z19gramschmidt_kernel3iiPfS_S_i",23,0,0,52,60386,8192,256,0,0,6,2,0,0x0,0.000308,3.227613,369.680678,0,0.000000,23.454738,7.709823,0.424152,91.350300
"_Z19gramschmidt_kernel1iiPfS_S_i",24,0,0,54,60386,256,256,0,0,1,2,1664,0x0,0.000056,0.037225,4.882286,0,0.000000,0.041592,0.024678,0.000000,0.558659
"_Z19gramschmidt_kernel2iiPfS_S_i",25,0,0,56,60386,8192,256,0,0,1,1,1856,0x0,0.000016,0.204194,24.029867,0,0.000000,7.736786,1.748410,0.000000,56.250000
"_Z19gramschmidt_kernel3iiPfS_S_i",26,0,0,58,60386,8192,256,0,0,6,2,0,0x0,0.000301,3.307346,378.306560,0,0.000000,18.642811,6.303484,0.415914,91.347669
"_Z19gramschmidt_kernel1iiPfS_S_i",27,0,0,60,60386,256,256,0,0,1,2,1664,0x0,0.000060,0.035072,4.634034,0,0.000000,0.036574,0.020638,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",28,0,0,62,60386,8192,256,0,0,1,1,1856,0x0,0.000012,0.272952,32.768000,0,0.000000,8.454937,3.648102,0.000000,56.226544
"_Z19gramschmidt_kernel3iiPfS_S_i",29,0,0,64,60386,8192,256,0,0,6,2,0,0x0,0.000308,3.222767,368.480416,0,0.000000,18.507150,6.088940,0.494439,91.351225
"_Z19gramschmidt_kernel1iiPfS_S_i",30,0,0,66,60386,256,256,0,0,1,2,1664,0x0,0.000055,0.038245,5.063111,0,0.000000,0.041308,0.023930,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",31,0,0,68,60386,8192,256,0,0,1,1,1856,0x0,0.000016,0.204475,24.029867,0,0.000000,7.057332,1.888443,0.000000,56.399726
"_Z19gramschmidt_kernel3iiPfS_S_i",32,0,0,70,60386,8192,256,0,0,6,2,0,0x0,0.000305,3.257034,372.104813,0,0.000000,18.006715,6.023998,0.542702,91.348303
"_Z19gramschmidt_kernel1iiPfS_S_i",33,0,0,72,60386,256,256,0,0,1,2,1664,0x0,0.000059,0.035758,4.713931,0,0.000000,0.039154,0.022906,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",34,0,0,74,60386,8192,256,0,0,1,1,1856,0x0,0.000012,0.265713,30.037333,0,0.000000,10.431783,3.313746,0.000000,56.419035
"_Z19gramschmidt_kernel3iiPfS_S_i",35,0,0,76,60386,8192,256,0,0,6,2,0,0x0,0.000308,3.222251,368.480416,0,0.000000,23.998770,7.978435,0.597689,91.341507
"_Z19gramschmidt_kernel1iiPfS_S_i",36,0,0,78,60386,256,256,0,0,1,2,1664,0x0,0.000055,0.038148,5.063111,0,0.000000,0.039213,0.021880,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",37,0,0,80,60386,8192,256,0,0,1,1,1856,0x0,0.000016,0.205063,24.029867,0,0.000000,6.928780,1.809094,0.000000,56.518771
"_Z19gramschmidt_kernel3iiPfS_S_i",38,0,0,82,60386,8192,256,0,0,6,2,0,0x0,0.000299,3.319024,379.571799,0,0.000000,19.196090,6.250874,0.438251,91.347669
"_Z19gramschmidt_kernel1iiPfS_S_i",39,0,0,84,60386,256,256,0,0,1,2,1664,0x0,0.000060,0.034695,4.556800,0,0.000000,0.038248,0.022484,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",40,0,0,86,60386,8192,256,0,0,1,1,1856,0x0,0.000012,0.268262,30.037333,0,0.000000,10.664723,2.522699,0.000000,56.668970
"_Z19gramschmidt_kernel3iiPfS_S_i",41,0,0,88,60386,8192,256,0,0,6,2,0,0x0,0.000310,3.207713,367.287922,0,0.000000,18.240891,6.016680,0.445740,91.345209
"_Z19gramschmidt_kernel1iiPfS_S_i",42,0,0,90,60386,256,256,0,0,1,2,1664,0x0,0.000056,0.037554,4.971055,0,0.000000,0.041959,0.024896,0.000000,0.557621
"_Z19gramschmidt_kernel2iiPfS_S_i",43,0,0,92,60386,8192,256,0,0,1,1,1856,0x0,0.000016,0.201895,22.528000,0,0.000000,7.647733,1.941295,0.000000,56.364874
