core_id,n,alpha,threads,test_position,program_exc_cycles,branch_hit,valid_interrupt,executed_instruction_packet,L1D_load/store_miss,L1D_load/store_hit,L1P_read_miss,L1P_read_hit,DP_dispatch_stall_duration,VM,SMC,program_stall_cycle,valid_NOP_cycle,valid_non-NOP_cycle,exception_count,SIEU,SMAC1, SMAC2, SBR, SLD, VIEU, VMAC1, VMAC2, VMAC3, VLS0 , VLS1 ,hotspot_function_clock_cycle,device_exc_time
1,41943040,3.14,1,Difference,129051217,5461355,26,38349195,0,0,75,34033041,5082275,491520,33072566,38647222,52070581,38312568,0,5780764,4237604,5311633,18377121,7112918,0,2293760,0,327680,6393735,2293894,127201538,0.075796
1,47185920,3.14,1,Difference,145056414,6140443,26,43113469,0,0,85,38268501,5710884,552960,37079045,43342474,58546507,43075624,0,6496870,4772565,5977449,20661767,8003751,0,2580480,0,368640,7192935,2580614,143143921,0.084602
1,52428800,3.14,1,Difference,160485542,6799038,26,47755489,0,0,85,42395777,6330134,614400,40980858,47926694,64826869,47720992,0,7194373,5264187,6589815,22877945,8831909,0,2867200,0,409600,7992137,2867336,158733492,0.092758
1,57671680,3.14,1,Difference,176934283,7488775,26,52579609,0,0,75,46690283,6970647,675840,45322379,52968032,71391318,52528864,0,7922138,5837609,7293349,25184553,9768786,0,3153920,0,450560,8791337,3154056,174927089,0.101993
1,62914560,3.14,1,Difference,192186091,8150871,26,57253279,0,0,75,50830616,7586741,737280,48834333,57160040,77719645,57215801,0,8620358,6304690,7891962,27429876,10578562,0,3440640,0,491520,9590535,3440774,190353360,0.110563
1,68157440,3.14,1,Difference,208716017,8844526,26,62102609,0,0,87,55140034,8226633,798720,53167246,62179035,84318163,62043193,0,9349863,6908912,8627899,29744066,11548526,0,3727360,0,532480,10389735,3727494,206637216,0.120077
1,73400320,3.14,1,Difference,223923587,9501426,26,66736746,0,0,97,59266304,8844540,860160,56863087,66567394,90605094,66698491,0,10045478,7370149,9214320,31984745,12349556,0,4014080,0,573440,11188936,4014215,222120412,0.128438
1,78643200,3.14,1,Difference,239898591,10180118,26,71502504,0,0,75,63500884,9473749,921600,60846400,71242330,97082740,71465393,0,10762508,7894911,9871309,34261917,13230523,0,4300800,0,614400,11988135,4300934,238012876,0.138053
1,83886080,3.14,1,Difference,255727879,10854512,26,76240815,0,0,75,67713858,10102458,983040,64907671,75996638,103519957,76206311,0,11476468,8424419,10529834,36533363,14112194,0,4587520,0,655360,12787335,4587654,253850593,0.146146
1,89128960,3.14,1,Difference,272410126,11530969,26,81004378,0,0,83,71941532,10729952,1044480,69641503,81415951,109971929,80967409,0,12205790,8928863,11167765,38822011,14973070,0,4874240,0,696320,13586535,4874374,269652035,0.15672
