NI,NJ
4,4
8,4
16,4
32,4
64,4
128,4
256,4
512,4
1024,4
2048,4
4096,4
4,8
8,8
16,8
32,8
64,8
128,8
256,8
512,8
1024,8
2048,8
4096,8
4,16
8,16
16,16
32,16
64,16
128,16
256,16
512,16
1024,16
2048,16
4096,16
4,32
8,32
16,32
32,32
64,32
128,32
256,32
512,32
1024,32
2048,32
4096,32
4,64
8,64
16,64
32,64
64,64
128,64
256,64
512,64
1024,64
2048,64
4096,64
4,128
8,128
16,128
32,128
64,128
128,128
256,128
512,128
1024,128
2048,128
4096,128
4,256
8,256
16,256
32,256
64,256
128,256
256,256
512,256
1024,256
2048,256
4096,256
4,512
8,512
16,512
32,512
64,512
128,512
256,512
512,512
1024,512
2048,512
4096,512
4,1024
8,1024
16,1024
32,1024
64,1024
128,1024
256,1024
512,1024
1024,1024
2048,1024
4096,1024
4,2048
8,2048
16,2048
32,2048
64,2048
128,2048
256,2048
512,2048
1024,2048
2048,2048
4096,2048
4,4096
8,4096
16,4096
32,4096
64,4096
128,4096
256,4096
512,4096
1024,4096
2048,4096
4096,4096
8172,4096
