NI,NJ,NK
8,8,8
8,8,16
8,8,32
8,8,64
8,8,128
8,8,256
8,16,8
8,16,16
8,16,32
8,16,64
8,16,128
8,16,256
16,16,8
16,16,16
16,16,32
16,16,64
16,16,128
16,16,256
16,32,8
16,32,16
16,32,32
16,32,64
16,32,128
16,32,256
32,32,8
32,32,16
32,32,32
32,32,64
32,32,128
32,32,256
32,64,16
32,64,32
32,64,64
32,64,128
32,64,256
32,64,512
64,64,16
64,64,32
64,64,64
64,64,128
64,64,256
64,64,512
64,128,32
64,128,64
64,128,128
64,128,256
64,128,512
64,96,128
96,96,128
64,64,96
96,96,96
128,128,32
128,128,64
128,128,128
128,128,256
128,128,512
128,256,32
128,256,64
128,256,128
128,256,256
128,256,512
128,192,256
128,128,192
128,192,192
192,192,192
192,256,192
256,256,64
256,256,128
256,256,256
256,256,512
256,512,64
256,512,128
256,512,256
256,512,512
512,512,64
512,512,128
512,512,256
512,512,512
512,512,768
512,768,768
768,768,768
1024,1024,1024
1024,1536,1280
1024,1280,1536
1024,1280,1280
312,256,384
288,256,288
256,96,48
128,32,256
