NI,NJ
4,4
8,4
16,4
24,4
32,4
48,4
64,4
4,8
8,8
16,8
24,8
32,8
48,8
64,8
96,8
8,16
16,16
24,16
32,16
48,16
64,16
96,16
128,16
16,32
32,32
48,32
64,32
96,32
128,32
32,48
48,48
64,48
96,48
128,48
192,48
32,64
48,64
64,64
96,64
128,64
192,64
256,64
512,64
32,96
64,96
96,96
128,96
192,96
256,96
512,96
64,128
96,128
128,128
192,128
256,128
512,128
64,192
96,192
128,192
192,192
256,192
512,192
64,256
128,256
192,256
256,256
384,256
512,256
64,384
128,384
192,384
384,384
512,384
768,384
64,512
128,512
256,512
384,512
512,512
768,512
64,768
128,768
256,768
384,768
512,768
768,768
